Fauna/Flora;Grupo;Família;Espécie (Simplificado);Nome Comum;Categoria de Ameaça;Sigla Categoria de Ameaça;Bioma;Principais Ameaças;Presença em Áreas Protegidas;Plano de Ação Nacional para Conservação (PAN);Ordenamento Pesqueiro ;Nível de Proteção na Estratégia Nacional;Espécie exclusiva do Brasil;Estados de Ocorrência
Fauna;Mamíferos;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Vulnerável (VU);VU;Pampa;"Agropecuária; Especies Exoticas; Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Transporte";Sim;Sim;Não;3;Não;RS
Fauna;Mamíferos;Felidae;Leopardus guttulus;Gato-do-mato;Vulnerável (VU);VU;"Cerrado; Mata Atlântica; Pampa;";"Agropecuária; Extracao Direta:Caça/Pesca; Mudanca Na Dinamica Das Especies Nativas: Patogenias/Parasitas; Outras Atividades Econômicas:Transporte";Sim;Sim;Não;3;Não;"BA; DF; ES; GO; MG; MS; MT;  PR; RJ; RS; SC; SP; "
Fauna;Mamíferos;Felidae;Leopardus tigrinus;Gato-do-mato;Em Perigo (EN);EN;"Amazônia; Caatinga; Cerrado; Mata Atlântica";"Agropecuária; Extracao Direta:Caça/Pesca; Mudanca Na Dinamica Das Especies Nativas: Patogenias/Parasitas; Outras Atividades Econômicas:Transporte";Sim;Sim;Não;4;Não;"AC; AL; AM; AP; BA; CE; DF; GO; MA; MG;  MT; PA; PB; PE; PI; PR; RN; RO; RR; SE; SP; TO"
Fauna;Mamíferos;Felidae;Leopardus wiedii;Gato-maracajá;Vulnerável (VU);VU;"Amazônia; Cerrado; Mata Atlântica; Pampa; Pantanal";Agropecuária;Sim;Sim;Não;5;Não;"AC; AM; AP; BA; DF; ES; GO; MA; MG; MS; MT; PA; PI; PR; RJ; RO; RR; RS; SC; SP; TO"
Fauna;Peixes Continentais;Characidae;Lepidocharax diamantina;Desconhecido;Em Perigo (EN);EN;Caatinga;"Assentamento Humano:cidades; Outras Atividades Econômicas:Turismo";Sim;Sim;Não;2;Sim;BA
Fauna;Répteis;Cheloniidae;Lepidochelys olivacea;Tartaruga-oliva;Em Perigo (EN);EN;Marinho;"Assentamento Humano:cidades; Extracao Direta:Caça/Pesca; Mineracao; Outras Atividades Econômicas:Transporte; Outras Atividades Econômicas:Turismo; Poluição";Sim;Sim;Sim;5;Não;"AL; AP; BA; CE;  ES; MA; PA; PB; PE; PI; PR; RN; RS; RJ;   SC; SE; SP; "
Fauna;Aves;Dendrocolaptidae;Lepidocolaptes wagleri;Arapaçu-de-wagler;Em Perigo (EN);EN;"Caatinga; Cerrado";Agropecuária;Sim;Não;Não;2;Sim;"BA; MG; PI"
Fauna;Aves;Pipridae;Lepidothrix iris;Cabeça-de-prata;Em Perigo (EN);EN;Amazônia;"Agropecuária; Queimadas";Sim;Sim;Não;3;Sim;"MA; MT; PA; TO"
Fauna;Aves;Pipridae;Lepidothrix iris iris;Cabeça-de-prata;Em Perigo (EN);EN;Amazônia;"Agropecuária; Extracao Florestal";Sim;Sim;Não;2;Sim;"MA; MT; PA; TO"
Fauna;Aves;Pipridae;Lepidothrix vilasboasi;Dançador-de-coroa-dourada;Vulnerável (VU);VU;Amazônia;"Agropecuária; Outras Atividades Econômicas:Transporte";Sim;Não;Não;3;Sim;Informação não disponível
Fauna;Peixes Continentais;Loricariidae;Leporacanthicus joselimai;Desconhecido;Vulnerável (VU);VU;Amazônia;Outras Atividades Econômicas:Energia;Sim;Sim;Sim;3;Sim;PA
Fauna;Peixes Continentais;Anostomidae;Leporinus guttatus;Aracu;Vulnerável (VU);VU;Amazônia;"Extracao Florestal; Outras Atividades Econômicas:Energia";Sim;Sim;Não;2;Sim;PA
Fauna;Peixes Continentais;Anostomidae;Leporinus pitingai;Aracu;Criticamente em Perigo (CR);CR;Amazônia;Outras Atividades Econômicas:Energia;Sim;Sim;Não;2;Sim;AM
Fauna;Répteis;Gymnophthalmidae;Leposoma annectans;Desconhecido;Vulnerável (VU);VU;Mata Atlântica;"Assentamento Humano:cidades; Mudanca Na Dinamica Das Especies Nativas";Sim;Sim;Não;3;Sim;BA
Fauna;Répteis;Gymnophthalmidae;Leposoma baturitensis;Desconhecido;Em Perigo (EN);EN;Caatinga;"Agropecuária; Assentamento Humano:rurais";Sim;Sim;Não;2;Sim;CE
Fauna;Répteis;Gymnophthalmidae;Leposoma nanodactylus;Desconhecido;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Extracao Florestal";Sim;Sim;Não;2;Sim;BA
Fauna;Répteis;Gymnophthalmidae;Leposoma puk;Desconhecido;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Extracao Florestal";Sim;Sim;Não;3;Sim;BA
Fauna;Répteis;Amphisbanidae;Leposternon kisteumacheri;Cobra-de-duas-cabeças;Vulnerável (VU);VU;"Cerrado; Mata Atlântica";Agropecuária;Sim;Sim;Não;2;Sim;"BA; MG"
Fauna;Répteis;Amphisbanidae;Leposternon octostegum;Cobra-de-duas-cabeças;Em Perigo (EN);EN;Mata Atlântica;"Assentamento Humano:cidades; Mudanca Na Dinamica Das Especies Nativas";Sim;Sim;Não;2;Sim;BA
Fauna;Répteis;Amphisbanidae;Leposternon scutigerum;Cobra-de-duas-cabeças;Em Perigo (EN);EN;Mata Atlântica;"Assentamento Humano:cidades; Mudanca Na Dinamica Das Especies Nativas";Sim;Sim;Não;2;Sim;RJ
Fauna;Invertebrados Terrestres;Coenagrionidae;Leptagrion acutum;Libélula;Criticamente em Perigo (CR);CR;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades; Queimadas";Sim;Não;Não;2;Sim;ES
Fauna;Invertebrados Terrestres;Coenagrionidae;Leptagrion bocainense;Libélula;Vulnerável (VU);VU;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades";Sim;Não;Não;3;Sim;"MG; RJ; SP"
Fauna;Invertebrados Terrestres;Coenagrionidae;Leptagrion capixabae;Libélula;Vulnerável (VU);VU;Mata Atlântica;"Assentamento Humano:cidades; Mineracao; Queimadas";Não;Não;Não;0;Sim;ES
Fauna;Invertebrados Terrestres;Coenagrionidae;Leptagrion porrectum;Libélula;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades; Extracao Florestal; Mineracao; Outras Atividades Econômicas:Transporte; Poluição; Queimadas";Não;Não;Não;0;Sim;"BA; ES"
